System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Toxicology_Emergency,Dextrose 50%,Carbohydrate,Hypoglycemia,0.5-1 g/kg IV (1-2 mL/kg),—,Ampule,IV,PRN,Hyperglycemia,Hyperglycemia,Monitor glucose
Toxicology_Emergency,Insulin,Short-acting,Hyperkalemia,0.1 U/kg IV with 1 g/kg dextrose,—,Vial,IV,Bolus,None,Hypoglycemia,Monitor glucose
Toxicology_Emergency,Epinephrine,Sympathomimetic,Anaphylaxis cardiac arrest,0.01 mg/kg IV (0.1 mL/kg 1:10000),1 mg,Vial,IV,Repeat q3-5 min,None,Tachycardia arrhythmia,Follow PALS
Vaccinology,Hepatitis B,Recombinant,Hepatitis B,0.5 mL IM at birth 1-2 mo 6-18 mo,0.5 mL,Vial,IM,3 doses,Anaphylaxis,Local fever,Check schedule
Vaccinology,Hepatitis A,Inactivated,Hepatitis A,0.5 mL IM at 12-23 mo and 6-12 mo later,0.5 mL,Vial,IM,2 doses,Anaphylaxis,Local fever,Travelers
Vaccinology,PCV13,Conjugate,Pneumococcal,0.5 mL IM at 2 4 6 12-15 mo,0.5 mL,Vial,IM,4 doses,Anaphylaxis,Local fever,High-risk 23-valent at ≥2 yrs
Vaccinology,Rotavirus,Live oral,Rotavirus,2 mL PO at 2 4 mo (RV1) or 2 4 6 mo (RV5),—,Vial,PO,2-3 doses,Intussusception history,Fussiness diarrhea,Give on schedule
Vaccinology,Influenza,Inactivated,Seasonal influenza,0.25-0.5 mL IM annually,—,Vial,IM,Annually,Egg allergy severe,Local fever,High-dose for ≥3 yrs
Vaccinology,HPV,Recombinant,HPV cancers,9-14 yrs 0.5 mL IM 2 doses 0 6-12 mo,0.5 mL,Vial,IM,2 doses,Anaphylaxis,Local fever,15-26 yrs 3 doses
Vaccinology,Meningococcal conjugate,Meningococcal,Meningococcal,0.5 mL IM at 11-12 yrs booster 16 yrs,0.5 mL,Vial,IM,2 doses,Anaphylaxis,Local fever,High-risk earlier
Vaccinology,Varicella,Live attenuated,Chickenpox,0.5 mL SQ at 12-15 mo 4-6 yrs,0.5 mL,Vial,SQ,2 doses,Same as MMR,Fever rash,Same as above
Vaccinology,Tdap,Toxoid,Tetanus diphtheria pertussis booster,0.5 mL IM at 11-12 yrs,0.5 mL,Vial,IM,Once,Anaphylaxis,Local fever,Every 10 yrs
Vaccinology,MMR,Live attenuated,Measles mumps rubella,0.5 mL SQ at 12-15 mo 4-6 yrs,0.5 mL,Vial,SQ,2 doses,Pregnancy immunosuppression,Fever rash,Separate by 28 days
Vaccinology,IPV,Inactivated polio,Polio,0.5 mL IM/SQ at 2 4 6-18 mo 4-6 yrs,0.5 mL,Vial,IM/SQ,4 doses,Anaphylaxis,Local fever,Check schedule
Vaccinology,Hib,Conjugate,Haemophilus influenzae b,0.5 mL IM at 2 4 6 12-15 mo,0.5 mL,Vial,IM,4 doses,Anaphylaxis,Local fever,Same as above
Vaccinology,DTaP,Toxoid + acellular pertussis,Diphtheria tetanus pertussis,0.5 mL IM at 2 4 6 15-18 mo 4-6 yrs,0.5 mL,Vial,IM,5 doses,Encephalopathy <7 days post-prev,Local fever fussiness,Shake well
Vaccinology,Japanese encephalitis,Inactivated,JE,0.5 mL IM 2 doses 28 days apart,,,,,,,Infectious_Diseases,Amikacin,Aminoglycoside,Gram-negative sepsis,15-22.5 mg/kg/day IV ÷ q8-24h,1.5 g/day,Vial,IV,q8-24h,Aminoglycoside allergy,Nephrotoxicity ototoxicity,Monitor serum levels
Infectious_Diseases,Cefoperazone,3rd gen cephalosporin,Intra-abdominal sepsis,100-150 mg/kg/day IV ÷ q8-12h,6 g/day,Vial,IV,q8-12h,Cephalosporin allergy,Hypoprothrombinemia bleeding risk,Monitor coagulation
Infectious_Diseases,Cefepime,4th gen cephalosporin,Pseudomonas meningitis,50 mg/kg IV q8-12h,2 g/dose,Vial,IV,q8-12h,Cephalosporin allergy,Rash neutropenia,Adjust in renal failure
Infectious_Diseases,Ceftazidime,3rd gen cephalosporin,Pseudomonas sepsis,30-50 mg/kg IV q8h,2 g/dose,Vial,IV,q8h,Cephalosporin allergy,Rash thrombophlebitis,Monitor renal function
Infectious_Diseases,Meropenem,Carbapenem,Meningitis sepsis,20-40 mg/kg IV q8h,2 g/dose,Vial,IV,q8h,Carbapenem allergy,Rash seizures,Adjust in renal impairment
Infectious_Diseases,Imipenem-Cilastatin,Carbapenem,Polymicrobial sepsis,15-25 mg/kg IV q6h,1 g/dose,Vial,IV,q6h,Carbapenem allergy,Seizures GI upset,Use with caution in CNS disease
Infectious_Diseases,Piperacillin-Tazobactam,Extended-spectrum penicillin,Intra-abdominal infection,240-300 mg/kg/day IV ÷ q6-8h,16 g/day piperacillin,Vial,IV,q6-8h,Penicillin allergy,Rash thrombocytopenia,Monitor renal function
Infectious_Diseases,Aztreonam,Monobactam,Gram-negative sepsis,30 mg/kg IV q6-8h,2 g/dose,Vial,IV,q6-8h,Aztreonam allergy,Rash GI upset,Cross-allergenicity minimal with penicillins
Infectious_Diseases,Doxycycline,Tetracycline,Atypical pneumonia,2-4 mg/kg/day PO/IV ÷ daily-BID,200 mg/day,Cap tab IV,PO/IV,daily-BID,Age <8 yrs pregnancy,Photosensitivity tooth discoloration,Give with food water
Infectious_Diseases,Linezolid,Oxazolidinone,MRSA pneumonia,10 mg/kg IV/PO q8h,600 mg/dose,Tab susp vial,PO/IV,q8h,MAOI use,Thrombocytopenia neuropathy,Monitor CBC weekly
Neurological,Clonazepam,Benzodiazepine,Absence seizures,0.01-0.03 mg/kg/day PO ÷ BID-TID,0.2 mg/kg/day,Tab liquid,PO,BID-TID,Severe resp insufficiency,Sedation dependence,Taper slowly
Neurological,Ethosuximide,Succinimide,Absence seizures,20 mg/kg/day PO ÷ BID titrate to 40 mg/kg/day,1.5 g/day,Caps syrup,PO,BID,Hepatic porphyria,Blood dyscrasias rash,Monitor CBC
Neurological,Zonisamide,Sulfonamide,Partial seizures,2-4 mg/kg/day PO titrate to 8-12 mg/kg/day,400 mg/day,Cap sprinkle,PO,Once daily,Sulfa allergy,Metabolic acidosis kidney stones,Monitor bicarb
Neurological,Pregabalin,Anticonvulsant adjuvant,Neuropathic pain,2-4 mg/kg/day PO ÷ BID,300 mg/day,Cap liquid,PO,BID,Hypersensitivity,Dizziness weight gain,Adjust renal
Neurological,Rufinamide,Triazole,Lennox-Gastaut,10 mg/kg/day PO ÷ BID titrate to 45 mg/kg/day,3.2 g/day,Tab susp,PO,BID,Familial short QT,QT shortening CNS depression,Monitor ECG
Neurological,Perampanel,AMPA antagonist,Partial seizures,2-4 mg PO qHS titrate to 12 mg qHS,12 mg/day,Tab liquid,PO,qHS,Hypersensitivity,Dizziness aggression,Monitor behavior
Neurological,Lacosamide,Functionalized amino acid,Partial seizures,2-4 mg/kg/day IV/PO ÷ BID titrate to 10 mg/kg/day,400 mg/day,Tab liquid IV,PO/IV,BID,Cardiac conduction issues,Dizziness PR prolongation,Monitor ECG
Neurological,Felbamate,Dicarbamate,Lennox-Gastaut,15 mg/kg/day PO ÷ TID-QID titrate to 45 mg/kg/day,3.6 g/day,Tab susp,PO,TID-QID,Bone marrow depression,Aplastic anemia hepatic failure,Black-box warnings
Neurological,Vigabatrin,GABA transaminase inhibitor,Infantile spasms,50 mg/kg/day PO ÷ BID titrate to 150 mg/kg/day,3 g/day,Powder packet,PO,BID,Retinal disease,Permanent vision loss,Regular eye exams
Neurological,Cannabidiol,Plant-derived,Dravet Lennox-Gastaut,5 mg/kg/day PO ÷ BID titrate to 20 mg/kg/day,20 mg/kg/day,Solution,PO,BID,Hepatic impairment,Somnolence hepatotoxicity,Monitor LFT
Neurological,Topiramate sprinkle,Anticonvulsant,Migraine prophylaxis,1-3 mg/kg/day PO titrate to 5-9 mg/kg/day,400 mg/day,Caps sprinkle,PO,BID,Metabolic acidosis,Metabolic acidosis kidney stones,Monitor bicarb
Gastroenterology,Domperidone,Dopamine antagonist,Gastroparesis,0.25-0.5 mg/kg PO q8h,30 mg/day,Tab,PO,TID,QT prolongation,QT prolongation arrhythmia,ECG before use
Gastroenterology,Domperidone suspension,Dopamine antagonist,Gastroparesis,0.25-0.5 mg/kg PO q8h,30 mg/day,Susp,PO,TID,QT prolongation,QT prolongation arrhythmia,ECG before use
Gastroenterology,Itopride,Prokinetic,Functional dyspepsia,0.5-1 mg/kg PO TID,150 mg/day,Tab,PO,TID,GIT hemorrhage,Diarrhea dizziness,Monitor cardiac
Gastroenterology,Cisapride,Serotonin agonist,Gastroparesis,0.2-0.3 mg/kg PO QID,10 mg/dose,Tab susp,PO,QID,QT prolongation,QT prolongation arrhythmia,Black-box withdrawn
Gastroenterology,Hyoscine butylbromide,Antispasmodic,Colicky pain,0.3-0.6 mg/kg PO q8h,20 mg/dose,Tab,PO,TID,Glaucoma,Anticholinergic effects,Short-term use
Gastroenterology,Ornidazole,Nitroimidazole,Amoebiasis giardiasis,25 mg/kg/day PO ÷ BID,1.5 g/day,Tab susp,PO,BID,Nitroimidazole allergy,Metallic taste disulfiram,No alcohol 48 h
Gastroenterology,Tinidazole,Nitroimidazole,Giardiasis amoebiasis,50-75 mg/kg PO single dose,2 g single,Tab,PO,Single,Nitroimidazole allergy,Metallic taste disulfiram,Give with food
Gastroenterology,Secnidazole,Nitroimidazole,Giardiasis amoebiasis,30 mg/kg PO single dose,2 g single,Granules,PO,Single,Nitroimidazole allergy,GI upset metallic taste,Single-dose cure
Gastroenterology,Paromomycin,Aminoglycoside,Intestinal amoebiasis,25-35 mg/kg/day PO ÷ TID,3 g/day,Cap,PO,TID,Intestinal obstruction,GI upset ototoxicity,Monitor hearing
Gastroenterology,Diloxanide furoate,Luminal amebicide,Asymptomatic amoebiasis,20 mg/kg/day PO ÷ TID max 1.5 g/day,1.5 g/day,Tab,PO,TID,Pregnancy,Flatulence nausea,Give after meals
Gastroenterology,Cholestyramine,Bile acid sequestrant,Cholestasis pruritus,240 mg/kg/day PO ÷ BID-QID,8 g/day,Powder,PO,BID-QID,Biliary obstruction,Constipation malabsorption,Give other drugs 1 h before
Gastroenterology,Alosetron,5-HT3 antagonist,Severe IBS-D,Not approved <18 yrs,—,Tab,PO,BID,Constipation,Ischemic colitis,Restricted program
Gastroenterology,Eluxadoline,µ-& κ-opioid agonist IBS-D,Not approved <18 yrs,—,Tab,PO,BID,Pancreatitis biliary disease,Pancreatitis constipation,Adult only
Gastroenterology,Ramosetron,5-HT3 antagonist,CINV IBS-D,Not approved <18 yrs,—,Tab,PO,Once daily,Constipation,Constipation headache,Adult only
Gastroenterology,Ondansetron oral soluble film,5-HT3 antagonist,CINV PONV,0.15 mg/kg PO q8h,16 mg,Film,PO,q8h,Hypersensitivity,Headache constipation QT,Monitor ECG
Endocrine,Cholecalciferol drops,Vitamin D,Rickets prevention,400-1000 IU PO daily,2000 IU/day,Drops,PO,Once daily,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Endocrine,Ergocalciferol,Vitamin D2,Vitamin D deficiency,1000-5000 IU PO daily,50000 IU/week,Caps liquid,PO,Once daily,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Endocrine,Alfacalcidol,1-α-hydroxy-vitamin D,Hypoparathyroidism,0.05-0.1 mcg/kg PO daily,1 mcg/day,Cap drops,PO,Once daily,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Endocrine,Calcium carbonate chew 500 mg,Calcium,Deficiency,500-1000 mg elemental Ca PO daily,2500 mg/day,Tab chew,PO,Once daily,Hypercalcemia,Constipation,With vitamin D
Endocrine,Zinc sulfate,Trace element,Zinc deficiency,1-2 mg/kg/day PO ÷ daily-BID,40 mg/day,Syrup tab,PO,Once daily,Renal failure,Nausea copper deficiency,Monitor copper
Endocrine,Copper sulfate,Trace element,Copper deficiency,20 mcg/kg/day PO,3 mg/day,Drops,PO,Once daily,Wilson disease,Nausea hepatotoxicity,Monitor copper
Endocrine,Selenium,Trace element,Selenium deficiency,1-2 mcg/kg/day PO,60 mcg/day,Drops,PO,Once daily,None,Nausea hair loss,Monitor levels
Endocrine,Chromium,Trace element,TPN supplementation,0.2-0.3 mcg/kg/day IV,5 mcg/day,Ampule,IV,Once daily,Renal failure,Nausea dermatitis,Monitor levels
Endocrine,Molybdenum,Trace element,TPN supplementation,0.25-1 mcg/kg/day IV,10 mcg/day,Ampule,IV,Once daily,None,Nausea anemia,Monitor uric acid
Endocrine,Manganese,Trace element,TPN supplementation,1 mcg/kg/day IV,50 mcg/day,Ampule,IV,Once daily,Biliary disease,Neurotoxicity,Monitor LFT
Endocrine,Iodine,Trace element,Deficiency,50-90 mcg/day PO,150 mcg/day,Drops tab,PO,Once daily,Hyperthyroidism,Hyperthyroidism,Monitor thyroid
Endocrine,Phosphorus supplement,Electrolyte,Hypophosphatemia,0.5-1 mmol/kg/day PO ÷ QID,2 mmol/kg/day,Solution tab,PO,QID,Hyperphosphatemia,Diarrhea,Monitor Ca²⁺
Endocrine,Sodium phosphate,Electrolyte,Hypophosphatemia,0.15-0.3 mmol/kg IV q6-12h,0.5 mmol/kg,Vial,IV,q6-12h,Hyperphosphatemia,Hypocalcemia,Monitor Ca²⁺
Endocrine,Potassium phosphate,Electrolyte,Hypophosphatemia,0.15-0.3 mmol/kg IV q6-12h,0.5 mmol/kg,Vial,IV,q6-12h,Hyperphosphatemia,Hypocalcemia,Monitor Ca²⁺
Respiratory,Budesonide respules,ICS,Asthma <5 yrs,0.25-1 mg neb daily-BID,2 mg/day,Ampule,Neb,Once-BID,Hypersensitivity,Thrush dysphonia,Rinse mouth
Respiratory,Ipratropium+Albuterol neb,Combo,Severe wheeze,1.5-3 mL q20 min x3 then q4-6h,2 mg ipratropium/day,Neb solution,Inh,q4-6h,Soy allergy,Tachycardia dry mouth,Watch technique
Respiratory,Fluticasone furoate,Nasal steroid,Allergic rhinitis ≥2 yrs,27.5 mcg/nostril daily,110 mcg/day,Nasal spray,Inh,Once daily,Nasal infection,Nosebleed,Rinse nozzle
Respiratory,Azelastine nasal spray,Antihistamine,Allergic rhinitis ≥5 yrs,1 spray/nostril BID,2 sprays/day,Nasal spray,Inh,BID,None,Somnolence bitter taste,Rinse nozzle
Respiratory,Cetirizine oral drops,Antihistamine,Urticaria rhinitis,2.5-10 mg daily,10 mg/day,Drops,PO,Once daily,Hypersensitivity,Drowsiness,Less sedation
Dermatology,Desonide 0.05 %,Mid-potency TCS,Atopic dermatitis face,BID x ≤2 wks,—,Cream oint lotion,Topical,BID,Infection,Skin atrophy,Face ≤2 wks
Dermatology,Desoximetasone 0.05 %,High-potency TCS,Psoriasis lichen planus,BID x 2 wks,—,Cream oint gel,Topical,BID,Infection,Atrophy telangiectasia,Limit 2 wks
Dermatology,Clobetasol 0.05 %,Super-high TCS,Lichen sclerosus,BID x 2 wks max,—,Cream oint,Topical,BID,Infection,Skin atrophy,≤2 wks
Dermatology,Mupirocin 2 %,Topical antibiotic,Impetigo,TID x 5-7 days,—,Oint cream,Topical,TID,Systemic use,Local irritation,Intranasal form available
Pain_Management_Anesthesia,Dexmedetomidine IV,α2-agonist,Sedation ICU,0.5-1 mcg/kg load then 0.2-0.7 mcg/kg/h,—,Vial,IV,Continuous,Severe bradycardia,Bradycardia hypotension,Monitor ECG
Pain_Management_Anesthesia,Nitrous oxide 50-70 %,Inhalational,Procedural sedation,50-70 % in O2,—,Cylinder,Inh,PRN,Pneumothorax,Nausea vomiting,Rapid elimination
Pain_Management_Anesthesia,Chloral hydrate,Sedative,Sedation for imaging,25-75 mg/kg PO/PR,2 g,Supp syrup,PO/PR,Single,Hepatic failure,Respiratory depression,Monitor airway
Pain_Management_Anesthesia,Ketamine oral,Dissociative,Procedural sedation,3-10 mg/kg PO,10 mg/kg,Solution,PO,Single,Psychosis,Hypertension emergence,Airway ready
Fluid_Electrolyte,Calcium gluconate 10 %,Electrolyte,Hypocalcemia,100-200 mg/kg IV slow,—,Ampule,IV,q6-8h,Hypercalcemia,Bradycardia,Monitor ECG
Fluid_Electrolyte,Potassium phosphate,Electrolyte,Hypophosphatemia,0.15-0.3 mmol/kg IV q6-12h,0.5 mmol/kg,Vial,IV,q6-12h,Hyperphosphatemia,Hypocalcemia,Monitor Ca²⁺
Gastroenterology,Oral Rehydration Solution,Electrolyte solution,Dehydration mild-moderate,75 mL/kg over 4 h mild 100 mL/kg over 6 h moderate,—,Powder sachets,PO,Continuous,Severe dehydration,Hypernatremia,WHO formula preferred
Gastroenterology,Simethicone,Anti-gas,Infantile colic gas,20-40 mg q6h PRN,240 mg/day,Drops chew tab,PO,q6h PRN,None,None,Safe for infants
Gastroenterology,Probiotics,Live microorganisms,Antibiotic-associated diarrhea,1-2 capsules or 5-10 billion CFU daily,—,Capsules powder,PO,Once-BID,Immunocompromised,None significant,Refrigerate some
Gastroenterology,Docusate sodium,Stool softener,Constipation,2-5 mg/kg/day ÷ BID,500 mg/day,Liquid capsules,PO,BID,Bowel obstruction,Diarrhea cramps,Not stimulant laxative
Gastroenterology,Kaolin-pectin,Antidiarrheal,Mild diarrhea,15-30 mL after each loose stool,—,Suspension,PO,PRN,Severe dehydration,Constipation,Not for bloody diarrhea
Respiratory,Saline nasal drops,Nasal decongestant,Nasal congestion,2-3 drops per nostril PRN,—,Drops,Nasal,PRN,None,Nasal irritation,Safe for all ages
Respiratory,Dextromethorphan,Antitussive,Cough ≥4 yrs,1-2 mg/kg/day ÷ q6h max 30 mg/day,30 mg/day,Syrup tab,PO,q6h,Age <4 yrs MAOI use,Drowsiness nausea,Not <4 yrs
Respiratory,Guaifenesin,Expectorant,Productive cough ≥4 yrs,12 mg/kg/day ÷ q4h max 400 mg/dose,1200 mg/day,Syrup tab,PO,q4h,Age <4 yrs,Nausea dizziness,Encourage fluids
Respiratory,Honey,Demulcent,Cough ≥1 yr,2.5-5 mL at bedtime,—,Natural,PO,At bedtime,Age <1 yr,None,Botulism risk <1 yr
Respiratory,Ipratropium standalone,Anticholinergic,Rhinorrhea,2 sprays per nostril TID,—,Nasal spray,Nasal,TID,Hypersensitivity,Dryness epistaxis,For runny nose
Infectious_Diseases,Sulfamethoxazole-Trimethoprim,Sulfonamide antibiotic,UTI pneumocystis,6-10 mg/kg/day TMP ÷ BID,320 mg TMP/day,Susp tab,PO,BID,Sulfa allergy,Hyperkalemia rash,Monitor K+ creatinine
Infectious_Diseases,Nitrofurantoin,Urinary antiseptic,UTI prophylaxis,1-2 mg/kg/day ÷ daily-BID,100 mg/day,Susp capsules,PO,Daily-BID,Renal failure G6PD,Pulmonary fibrosis,Long-term use risk
Infectious_Diseases,Metronidazole gel,Antiprotozoal,Bacterial vaginosis,0.75% gel 5 g intravaginally,—,Gel,Vaginal,Daily x5 days,Pregnancy 1st trimester,Metallic taste,Adolescents only
Infectious_Diseases,Nystatin oral,Antifungal,Oral thrush,100000 U QID,—,Suspension,PO,QID,Hypersensitivity,None significant,Swish and swallow
Infectious_Diseases,Ceftriaxone IM,3rd gen cephalosporin,Otitis media one-dose,50 mg/kg IM single dose,1 g,Vial,IM,Single,Cephalosporin allergy,Pain at injection,Outpatient option
Dermatology,Zinc oxide,Barrier,Diaper rash,Apply to affected area PRN,—,Cream ointment,Topical,PRN,None,None,Barrier protection
Dermatology,Petroleum jelly,Barrier,Dry skin chapped lips,Apply PRN,—,Ointment,Topical,PRN,None,None,Occlusive barrier
Dermatology,Calamine lotion,Drying agent,Poison ivy chickenpox,Apply PRN,—,Lotion,Topical,PRN,None,Dryness,Cooling effect
Dermatology,Bacitracin,Topical antibiotic,Minor cuts,Apply TID,—,Ointment,Topical,TID,Hypersensitivity,Contact dermatitis,OTC
Dermatology,Neosporin,Triple antibiotic,Minor cuts,Apply BID-TID,—,Ointment cream,Topical,BID-TID,Hypersensitivity,Contact dermatitis,Neomycin sensitization
Dermatology,Silver sulfadiazine,Topical antimicrobial,Burns,Apply daily-BID,—,Cream,Topical,Daily-BID,Sulfa allergy,Leukopenia,Monitor WBC
Endocrine,Multivitamin drops,Vitamin supplement,Vitamin deficiency prevention,1 mL daily or per label,—,Drops,PO,Once daily,Hypervitaminosis,Nausea,Age-appropriate formulation
Endocrine,Vitamin A,Fat-soluble vitamin,Deficiency,1500-5000 IU daily,—,Drops capsules,PO,Once daily,Hypervitaminosis A,Hepatotoxicity,Monitor levels
Endocrine,Vitamin E,Antioxidant,Deficiency,15-25 IU daily,—,Drops capsules,PO,Once daily,Anticoagulant use,Bleeding,Monitor PT
Endocrine,Vitamin C,Water-soluble vitamin,Scurvy iron absorption,50-100 mg daily,—,Chew tab drops,PO,Once daily,None,GI upset,Enhances iron absorption
Pain_Management_Anesthesia,Lidocaine 2% gel,Local anesthetic,Topical anesthesia,Apply small amount PRN,—,Gel,Topical,PRN,Hypersensitivity,Contact dermatitis,Avoid mucous membranes
Pain_Management_Anesthesia,Benzocaine spray,Local anesthetic,Sore throat >2 yrs,1-2 sprays PRN,—,Spray,Topical,PRN,Age <2 yrs,Methemoglobinemia,Risk in infants
Pain_Management_Anesthesia,Camphor menthol,Topical analgesic,Muscle aches >2 yrs,Apply PRN,—,Balm,Topical,PRN,Age <2 yrs,Skin irritation,External use only
Ophthalmology,Artificial tears,Lubricant,Dry eyes,1-2 drops PRN,—,Drops,Topical,PRN,None,Temporary blurring,Preservative-free preferred
Ophthalmology,Saline eye wash,Irrigant,Eye irrigation,Flush as needed,—,Solution,Topical,PRN,None,None,Foreign body removal
Otolaryngology,Ear wax removal drops,Cerumenolytic,Cerumen impaction,2-3 drops BID x3-4 days,—,Drops,Otic,BID,Perforated eardrum,Irritation,Soften before removal
Otolaryngology,Antipyrine-benzocaine,Analgesic,Ear pain,2-3 drops q2h PRN,—,Drops,Otic,q2h PRN,Perforated eardrum,Local irritation,Temporary relief
Hematology,Vitamin B6,Pyridoxine,Deficiency,1-2 mg/kg/day,100 mg/day,Tab liquid,PO,Once daily,None,Peripheral neuropathy high dose,Monitor with INH
Hematology,Biotin,B vitamin,Deficiency,10-20 mcg/kg/day,—,Tab liquid,PO,Once daily,None,None,Hair nail health
Immunology_Allergy,Calamine with antihistamine,Anti-itch,Itching,Apply PRN,—,Lotion,Topical,PRN,None,Drowsiness,Diphenhydramine含有
Immunology_Allergy,Hydrocortisone cream 0.5%,Mild TCS,Eczema mild,Apply BID,—,Cream,Topical,BID,Infection,Skin atrophy,OTC strength
Toxicology_Emergency,Ipecac syrup,Emetic,Poisoning (rarely used),15 mL (6mo-1yr) 30 mL (>1yr),—,Syrup,PO,Single,Caustic ingestion,Aspiration,Generally contraindicated
Toxicology_Emergency,Glucose gel,Carbohydrate,Hypoglycemia,15 g PO,—,Gel,PO,PRN,None,Hyperglycemia,Fast-acting
Neonatology,Simethicone infant drops,Anti-gas,Colic,0.3-0.6 mL q6h PRN,—,Drops,PO,q6h PRN,None,None,Safe in newborns
Neonatology,Gripe water,Herbal remedy,Colic fussiness,2.5-5 mL PRN,—,Liquid,PO,PRN,None,None,Not FDA regulated
Neonatology,Lanolin,Barrier,Nipple protection,Apply PRN,—,Ointment,Topical,PRN,Wool allergy,None,Breastfeeding aid
Nephrology,Cranberry extract,Supplement,UTI prevention,300-400 mg daily,—,Capsules,PO,Daily,None,GI upset,Prevention only
Musculoskeletal_Orthopedics,Arnica gel,Homeopathic,Bruises sprains,Apply PRN,—,Gel,Topical,PRN,Open wounds,Skin irritation,Alternative therapy
Psychiatry_Behavioral,Melatonin,Hormone,Sleep disorders,0.5-3 mg 30 min before bed,5 mg,Tab liquid,PO,At bedtime,None,Drowsiness headache,Circadian rhythm
Cardiovascular,Electrolyte popsicles,Electrolyte replacement,Mild dehydration,1-2 popsicles PRN,—,Frozen,PO,PRN,Severe dehydration,None,Pediatric-friendly
Gastroenterology,Activated charcoal liquid,Adsorbent,Poisoning,1 g/kg PO,50 g,Liquid,PO,Single,Caustic ingestion,Constipation,Mix with sorbitol
